Cidade;Data;Usuarios;Novos usuarios;Total;DT
Fortaleza;20231110;2;1;3;10/11/2023
Fortaleza;20231111;2;1;2;11/11/2023
Gunungsitoli Barat;20231106;2;0;2;06/11/2023
Juiz de Fora;20231106;2;1;2;06/11/2023
Juiz de Fora;20231107;2;1;2;07/11/2023
Juiz de Fora;20231108;2;1;2;08/11/2023
Juiz de Fora;20231109;2;0;2;09/11/2023
Maceio;20231111;2;0;5;11/11/2023
Maceio;20231112;2;1;5;12/11/2023
Manaus;20231108;2;2;2;08/11/2023
Manaus;20231112;2;2;2;12/11/2023
Marica;20231108;2;1;2;08/11/2023
Marica;20231109;2;1;2;09/11/2023
Mexico City;20231108;2;1;2;08/11/2023
Natal;20231107;2;1;2;07/11/2023
Niteroi;20231106;2;0;2;06/11/2023
Niteroi;20231111;2;1;2;11/11/2023
Nova Iguacu;20231106;2;2;2;06/11/2023
Nova Iguacu;20231110;2;1;2;10/11/2023
Paranavai;20231106;2;1;2;06/11/2023
Petropolis;20231110;2;2;2;10/11/2023
Rio das Ostras;20231107;2;1;1;07/11/2023
Rio das Ostras;20231111;2;1;2;11/11/2023
Salvador;20231107;2;0;2;07/11/2023
Salvador;20231110;2;2;2;10/11/2023
Salvador;20231112;2;0;3;12/11/2023
Sao Goncalo;20231110;2;0;2;10/11/2023
Serra;20231108;2;1;2;08/11/2023
Teresina;20231107;2;0;2;07/11/2023
Teresina;20231109;2;0;4;09/11/2023
Tres Rios;20231111;2;1;1;11/11/2023
Uberlandia;20231111;2;1;3;11/11/2023
Vila Velha;20231106;2;2;1;06/11/2023
Vila Velha;20231109;2;0;2;09/11/2023
Vila Velha;20231111;2;1;2;11/11/2023
Vitoria;20231106;2;0;2;06/11/2023
Alem Paraiba;20231110;1;0;1;10/11/2023
Americo Brasiliense;20231110;1;0;1;10/11/2023
