# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240506
# Data de termino: 20240512
Titulo da pagina e nome da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total
Fluminense x Vila Nova GO-GO;20240506;2;1;1;5.5;0;0
Flavio Renato 1985;20240509;2;2;2;6;0;0
Fred 2022;20240507;2;1;0;0;0;0
Fred 2022 - Gols por Ano;20240511;2;2;0;3.5;0;0
Fabio 2024;20240509;2;2;0;21.5;0;0
Gabriel Pires 2024;20240511;2;2;0;5.5;0;0
Gols do Thiago Neves;20240507;2;1;0;1;0;0
Gols do Thiago Silva;20240507;2;2;0;10;0;0
Goytacas 1 X 1 Fluminense;20240512;2;1;0;34;0;0
Graficos;20240507;2;2;0;13;0;0
Gum 2018;20240509;2;2;0;7.5;0;0
Informacoes Gerais;20240507;2;2;0;15;0;0
Informacoes Gerais;20240512;2;2;0;4;0;0
Jesus Valenzuela;20240512;2;2;0;10.5;0;0
Jogador x Campeonato;20240509;2;1;0;16.5;0;0
Jogadores com mais jogos;20240510;2;2;0;35.5;0;0
Jogadores com mais jogos;20240511;2;2;0;92;0;0
Jose Roberto Wright;20240512;2;2;0;12;0;0
Juan 2005;20240507;2;1;0;0;0;0
Junior Barranquilla 3 X 0 Fluminense;20240511;2;1;0;1;0;0
Kashima Antlers 2 X 0 Fluminense;20240507;2;1;1;0;0;0
