Cidade;Data;Usuarios;Novos usuarios;Total;DT
Anapolis;20230825;1;1;2;2023-08-25
Anapolis;20230903;1;1;2;2023-09-03
Anapolis;20230912;1;1;2;2023-09-12
Andradas;20230829;1;1;2;2023-08-29
Angra dos Reis;20230811;1;1;2;2023-08-11
Angra dos Reis;20230814;1;1;2;2023-08-14
Angra dos Reis;20230818;1;0;1;2023-08-18
Angra dos Reis;20230827;1;0;1;2023-08-27
Angra dos Reis;20230904;1;1;2;2023-09-04
Angra dos Reis;20230909;1;1;2;2023-09-09
Aparecida de Goiania;20230803;1;0;1;2023-08-03
Aparecida de Goiania;20230810;1;0;1;2023-08-10
Aparecida de Goiania;20230814;1;1;2;2023-08-14
Aparecida de Goiania;20230817;1;1;2;2023-08-17
Aquiraz;20230828;1;1;2;2023-08-28
Aracaju;20230805;1;1;2;2023-08-05
Aracaju;20230810;1;1;2;2023-08-10
Aracaju;20230828;1;1;2;2023-08-28
Aracaju;20230829;1;1;2;2023-08-29
Aracaju;20230830;1;1;2;2023-08-30
Aracaju;20230903;1;1;2;2023-09-03
Aracatuba;20230822;1;1;2;2023-08-22
Aracatuba;20230823;1;0;1;2023-08-23
Aracatuba;20230824;1;1;2;2023-08-24
Arapiraca;20230831;1;1;2;2023-08-31
Arapiraca;20230906;1;1;2;2023-09-06
Arapongas;20230813;1;1;2;2023-08-13
Araraquara;20230809;1;1;2;2023-08-09
Araraquara;20230811;1;1;2;2023-08-11
Araraquara;20230818;1;0;1;2023-08-18
Araraquara;20230819;1;1;2;2023-08-19
Araraquara;20230824;1;0;1;2023-08-24
Araraquara;20230825;1;0;1;2023-08-25
Araraquara;20230828;1;0;1;2023-08-28
Araraquara;20230901;1;0;1;2023-09-01
Araraquara;20230903;1;0;1;2023-09-03
Araraquara;20230905;1;0;1;2023-09-05
Araraquara;20230906;1;0;1;2023-09-06
Araraquara;20230907;1;0;1;2023-09-07
Araraquara;20230918;1;0;1;2023-09-18
Araripina;20230808;1;1;2;2023-08-08
Araruama;20230827;1;1;2;2023-08-27
Araruama;20230901;1;1;2;2023-09-01
Araruama;20230903;1;1;2;2023-09-03
Araruama;20230908;1;0;1;2023-09-08
Araruama;20230917;1;1;2;2023-09-17
Araruama;20230918;1;0;1;2023-09-18
Araucaria;20230821;1;1;2;2023-08-21
Araucaria;20230910;1;1;2;2023-09-10
Areal;20230817;1;1;2;2023-08-17
Areal;20230828;1;1;2;2023-08-28
Areal;20230902;1;1;2;2023-09-02
Arraial do Cabo;20230809;1;1;2;2023-08-09
Asuncion;20230830;1;1;2;2023-08-30
Atibaia;20230908;1;1;2;2023-09-08
Atlanta;20230826;1;1;2;2023-08-26
Atlanta;20230827;1;0;1;2023-08-27
Auckland;20230915;1;1;2;2023-09-15
Baku;20230807;1;0;1;2023-08-07
Baku;20230808;1;0;1;2023-08-08
Baku;20230809;1;0;1;2023-08-09
Baku;20230810;1;0;1;2023-08-10
Baku;20230819;1;1;2;2023-08-19
Baku;20230824;1;0;1;2023-08-24
Baku;20230903;1;1;2;2023-09-03
Baku;20230909;1;0;1;2023-09-09
Baku;20230911;1;0;1;2023-09-11
Balneario Camboriu;20230825;1;0;1;2023-08-25
Balneario Camboriu;20230901;1;0;1;2023-09-01
Balsas;20230831;1;1;2;2023-08-31
Bambui;20230818;1;1;2;2023-08-18
Bambui;20230909;1;1;2;2023-09-09
Banbury;20230827;1;1;2;2023-08-27
Banbury;20230915;1;1;2;2023-09-15
Barnsley;20230917;1;1;2;2023-09-17
Barra Mansa;20230804;1;1;2;2023-08-04
Barra Mansa;20230808;1;1;2;2023-08-08
Barra Mansa;20230809;1;1;2;2023-08-09
Barra Mansa;20230811;1;1;2;2023-08-11
Barra Mansa;20230826;1;1;2;2023-08-26
Barra Mansa;20230902;1;0;1;2023-09-02
Barra Mansa;20230915;1;1;2;2023-09-15
Barra do Garcas;20230913;1;0;1;2023-09-13
Barra do Pirai;20230805;1;1;2;2023-08-05
Barra do Pirai;20230810;1;1;2;2023-08-10
Barra do Pirai;20230818;1;0;1;2023-08-18
